frame,player_id,tacticam_bbox,broadcast_bbox
23,235,"[427, 200, 468, 256]","[1313, 476, 1378, 564]"
23,236,"[1710, 332, 1738, 393]","[1546, 445, 1582, 518]"
23,237,"[427, 200, 468, 256]","[879, 557, 927, 643]"
23,238,"[427, 200, 468, 256]","[1548, 494, 1621, 587]"
23,239,"[297, 492, 345, 554]","[875, 612, 935, 712]"
23,240,"[748, 390, 771, 447]","[1863, 588, 1918, 692]"
23,241,"[1674, 468, 1701, 529]","[216, 508, 255, 612]"
24,242,"[778, 250, 820, 298]","[1608, 557, 1696, 660]"
24,243,"[268, 743, 319, 817]","[1533, 707, 1623, 830]"
24,244,"[268, 743, 319, 817]","[984, 550, 1063, 642]"
24,245,"[815, 155, 849, 201]","[1638, 450, 1709, 530]"
24,246,"[268, 743, 319, 817]","[664, 712, 719, 839]"
24,247,"[778, 250, 820, 298]","[1556, 495, 1613, 588]"
24,248,"[268, 743, 319, 817]","[1545, 444, 1587, 526]"
24,249,"[710, 342, 747, 396]","[886, 555, 931, 641]"
24,250,"[748, 388, 776, 447]","[1866, 587, 1920, 691]"
24,251,"[710, 342, 747, 396]","[1318, 475, 1361, 560]"
24,252,"[710, 342, 747, 396]","[882, 613, 921, 711]"
24,253,"[1710, 334, 1733, 393]","[227, 509, 266, 613]"
25,254,"[314, 409, 359, 467]","[986, 548, 1062, 637]"
25,255,"[267, 740, 322, 809]","[672, 710, 726, 836]"
25,256,"[709, 342, 749, 397]","[1608, 558, 1689, 659]"
25,257,"[267, 740, 322, 809]","[1527, 706, 1590, 829]"
25,258,"[978, 274, 1013, 332]","[1544, 443, 1588, 527]"
25,259,"[1104, 480, 1137, 541]","[881, 604, 923, 710]"
25,260,"[579, 110, 616, 155]","[1640, 451, 1699, 532]"
25,261,"[776, 251, 818, 300]","[1320, 476, 1370, 564]"
25,262,"[430, 205, 470, 261]","[893, 552, 938, 641]"
25,263,"[1142, 361, 1168, 415]","[1561, 529, 1588, 588]"
25,264,"[1709, 334, 1730, 395]","[238, 509, 277, 612]"
